YEAR,MO,DY,HR,WS10M
2023,2,24,20,3.55
2023,2,24,21,3.23
2023,2,24,22,2.26
2023,2,24,23,1.94
2023,2,25,0,1.65
2023,2,25,1,1.23
2023,2,25,2,1.12
2023,2,25,3,1.12
2023,2,25,4,1.21
2023,2,25,5,1.2
2023,2,25,6,1.23
2023,2,25,7,1.39
2023,2,25,8,1.38
2023,2,25,9,1.24
2023,2,25,10,1.36
2023,2,25,11,1.62
2023,2,25,12,2.31
2023,2,25,13,2.86
2023,2,25,14,3.32
2023,2,25,15,3.59
2023,2,25,16,3.74
2023,2,25,17,3.78
2023,2,25,18,3.71
2023,2,25,19,3.7
2023,2,25,20,3.57
2023,2,25,21,3.29
2023,2,25,22,2.32
2023,2,25,23,1.82
2023,2,26,0,1.68
2023,2,26,1,1.32
2023,2,26,2,1.12
2023,2,26,3,0.98
2023,2,26,4,1.03
2023,2,26,5,1.05
2023,2,26,6,1.2
2023,2,26,7,1.35
2023,2,26,8,1.3
2023,2,26,9,1.32
2023,2,26,10,1.34
2023,2,26,11,1.48
2023,2,26,12,2.02
2023,2,26,13,2.37
2023,2,26,14,2.5
2023,2,26,15,3.02
2023,2,26,16,3.4
2023,2,26,17,3.48
2023,2,26,18,3.37
2023,2,26,19,3.24
2023,2,26,20,3.07
2023,2,26,21,2.78
2023,2,26,22,2.06
2023,2,26,23,1.39
2023,2,27,0,1.19
2023,2,27,1,0.96
2023,2,27,2,0.86
2023,2,27,3,0.86
2023,2,27,4,0.94
2023,2,27,5,0.99
2023,2,27,6,1.03
2023,2,27,7,1.08
2023,2,27,8,1.08
2023,2,27,9,1.13
2023,2,27,10,1.2
2023,2,27,11,1.37
2023,2,27,12,2.43
2023,2,27,13,3.25
2023,2,27,14,3.58
2023,2,27,15,3.8
2023,2,27,16,4.07
2023,2,27,17,4.3
2023,2,27,18,4.51
2023,2,27,19,4.63
2023,2,27,20,4.5
2023,2,27,21,4.11
2023,2,27,22,3.1
2023,2,27,23,2.23
2023,2,28,0,2.14
2023,2,28,1,1.86
2023,2,28,2,1.65
2023,2,28,3,1.62
2023,2,28,4,1.53
2023,2,28,5,1.47
2023,2,28,6,1.55
2023,2,28,7,1.63
2023,2,28,8,1.52
2023,2,28,9,1.37
2023,2,28,10,1.27
2023,2,28,11,1.51
2023,2,28,12,2.44
2023,2,28,13,3.4
2023,2,28,14,4.22
2023,2,28,15,4.62
2023,2,28,16,4.85
2023,2,28,17,4.83
2023,2,28,18,4.59
2023,2,28,19,4.22
2023,2,28,20,3.84
2023,2,28,21,3.38
2023,2,28,22,2.27
2023,2,28,23,1.62
2023,3,1,0,1.53
2023,3,1,1,1.53
2023,3,1,2,1.68
2023,3,1,3,1.7
2023,3,1,4,1.6
2023,3,1,5,1.41
2023,3,1,6,1.27
2023,3,1,7,1.25
2023,3,1,8,1.28
2023,3,1,9,1.33
2023,3,1,10,1.42
2023,3,1,11,1.57
2023,3,1,12,2.32
2023,3,1,13,2.86
2023,3,1,14,3.43
2023,3,1,15,4.02
2023,3,1,16,4.38
2023,3,1,17,4.45
2023,3,1,18,4.28
2023,3,1,19,3.91
2023,3,1,20,3.43
2023,3,1,21,2.61
2023,3,1,22,1.6
2023,3,1,23,1.15
2023,3,2,0,0.98
2023,3,2,1,0.94
2023,3,2,2,0.95
2023,3,2,3,0.91
2023,3,2,4,0.85
2023,3,2,5,0.88
2023,3,2,6,1.04
2023,3,2,7,1.18
2023,3,2,8,1.32
2023,3,2,9,1.41
2023,3,2,10,1.42
2023,3,2,11,1.69
2023,3,2,12,2.75
2023,3,2,13,3.71
2023,3,2,14,4.47
2023,3,2,15,4.81
2023,3,2,16,5.0
2023,3,2,17,5.02
2023,3,2,18,4.91
2023,3,2,19,4.68
2023,3,2,20,4.37
2023,3,2,21,3.96
2023,3,2,22,2.9
2023,3,2,23,2.02
2023,3,3,0,1.91
2023,3,3,1,1.92
2023,3,3,2,1.95
2023,3,3,3,1.76
2023,3,3,4,1.52
2023,3,3,5,1.41
2023,3,3,6,1.5
2023,3,3,7,1.52
2023,3,3,8,1.4
2023,3,3,9,1.28
2023,3,3,10,1.42
2023,3,3,11,2.05
2023,3,3,12,3.31
2023,3,3,13,4.33
2023,3,3,14,4.68
2023,3,3,15,5.17
2023,3,3,16,5.46
2023,3,3,17,5.4
2023,3,3,18,5.24
2023,3,3,19,5.11
2023,3,3,20,5.01
2023,3,3,21,4.73
2023,3,3,22,3.73
